Date,Compras,Superior,Inferior,ticker
2022-05-30 00:00:00-03:00,41.290000915527344,43.758962187929605,41.67903753741219,ELET6.SA
2022-06-10 00:00:00-03:00,39.70000076293945,42.803713155987815,40.378287576434055,ELET6.SA
2022-06-13 00:00:00-03:00,39.380001068115234,43.00591106758448,39.79408969535497,ELET6.SA
2022-07-11 00:00:00-03:00,43.41999816894531,46.89020362010826,43.97179665454994,ELET6.SA
2022-08-25 00:00:00-03:00,47.91999816894531,51.24004576699701,48.03395401937994,ELET6.SA
2022-08-26 00:00:00-03:00,47.52999877929688,51.365350085973,47.604649608851226,ELET6.SA
2022-09-06 00:00:00-03:00,46.91999816894531,48.64204237350617,47.135956741484065,ELET6.SA
2022-09-08 00:00:00-03:00,46.59999847412109,48.48215742718,46.85784119952898,ELET6.SA
2022-09-16 00:00:00-03:00,45.4900016784668,48.020801777150865,45.83319831440187,ELET6.SA
2022-09-19 00:00:00-03:00,45.43000030517578,47.84937952955272,45.51062031785939,ELET6.SA
2022-11-10 00:00:00-03:00,48.52999877929688,55.283528334215866,49.40047053663374,ELET6.SA
2022-11-11 00:00:00-03:00,48.869998931884766,55.451474100699485,48.94252461756223,ELET6.SA
2022-12-02 00:00:00-03:00,47.18999862670898,49.65830758511957,47.689693513513234,ELET6.SA
2022-12-05 00:00:00-03:00,46.02999877929688,49.95627044660869,46.805730590988965,ELET6.SA
2022-12-15 00:00:00-03:00,42.9900016784668,47.341992353439956,43.34000837898191,ELET6.SA
2022-12-16 00:00:00-03:00,42.150001525878906,47.08641156155723,42.587589750698626,ELET6.SA
